2021-08-11 09:54:14,819 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-08-11 09:54:16,190 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-08-11 09:54:16,236 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.32.Final (Version.java:44)
2021-08-11 09:54:16,351 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
2021-08-11 09:54:16,715 - [main] INFO       | org.hibernate.dialect.Dialect                                | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect (Dialect.java:175)
2021-08-11 09:54:17,319 - [main] INFO       | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
2021-08-11 09:54:19,854 - [http-nio-8080-exec-3] INFO       | com.nnk.springboot.controller.LoginController                | --> Launch /login  (LoginController.java:24)
2021-08-11 09:54:21,069 - [http-nio-8080-exec-5] INFO       | com.nnk.springboot.controller.LoginController                | --> Launch /login  (LoginController.java:24)
2021-08-11 09:54:21,274 - [http-nio-8080-exec-7] INFO       | com.nnk.springboot.controller.LoginController                | --> Launch /login  (LoginController.java:24)
2021-08-11 09:54:24,719 - [http-nio-8080-exec-8] INFO       | com.nnk.springboot.controller.LoginController                | --> Launch /join (LoginController.java:35)
2021-08-11 09:54:24,861 - [http-nio-8080-exec-10] INFO       | com.nnk.springboot.controller.LoginController                | --> Launch /login  (LoginController.java:24)
2021-08-11 09:54:54,398 - [http-nio-8080-exec-2] INFO       | com.nnk.springboot.controller.LoginController                | --> Launch /login  (LoginController.java:24)
2021-08-11 09:54:54,418 - [http-nio-8080-exec-4] INFO       | com.nnk.springboot.controller.LoginController                | --> Launch /login  (LoginController.java:24)
2021-08-11 09:55:10,621 - [http-nio-8080-exec-5] INFO       | com.nnk.springboot.security.MyUserDetailService              | ---> User lolo Find  (MyUserDetailService.java:27)
2021-08-11 09:55:34,894 - [http-nio-8080-exec-8] INFO       | com.nnk.springboot.controller.UserController                 | --> Launch /user/list (UserController.java:39)
